,0_names,0_scores,0_pvals,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals,3_pvals_adj,3_logfoldchanges
23,SOX6,1.6620865,0.09649543403332694,0.6610365091390838,0.25021118,MFSD1,4.590866,4.414102139328181e-06,0.0019523913308566957,2.886582,LOC342346,3.3196409,0.0009013331457994278,0.2902417286003764,3.447569,RRBP1,3.4302227,0.0006030857921218412,0.2667494849769682,3.7773063
24,DDX52,1.6582918,0.09725858899681131,0.6610365091390838,0.9992598,OTUD6B,4.574644,4.770302451313644e-06,0.002031795488522478,2.175802,POM121L8P,3.3196409,0.0009013331457994278,0.2902417286003764,1.4321226,JUN,3.414293,0.000639477679985718,0.2701357311725227,3.9962726
25,GRIA2,1.6582918,0.09725858899681131,0.6610365091390838,0.67563957,UHMK1,4.566533,4.958569956476039e-06,0.0020365555178383735,1.5714419,KIAA1908,3.3196409,0.0009013331457994278,0.2902417286003764,3.5460737,ACTB,3.398363,0.0006779036616480259,0.2701357311725227,2.5735447
26,NFU1,1.6507024,0.09879937064324285,0.6640518774969565,0.89606845,GPR137C,4.558422,5.15394150484524e-06,0.0020438043898524227,2.4638224,GALNT10,3.305239,0.0009489545351038503,0.2902417286003764,3.7745554,DSTN,3.3930533,0.0006911820826316014,0.2701357311725227,3.5256464
27,LIMK1,1.6507024,0.09879937064324285,0.6640518774969565,1.7319951,ADAM18,4.550311,5.356671820884987e-06,0.0020533908646725783,2.2799013,RBCK1,3.298038,0.0009736295407178418,0.2902417286003764,4.4747195,CALR,3.3877432,0.000704701907406581,0.2701357311725227,2.6593633
28,DNAJC18,1.6355234,0.10193936005827964,0.6660810458353499,0.98598623,TRIM36,4.530033,5.897442256706857e-06,0.0021355363941699557,2.7480066,SEMA5B,3.2764351,0.0010512645579025682,0.2902417286003764,4.418729,RPS8,3.3611937,0.0007760641784295144,0.2788980641231067,3.5866897
29,RUFY1,1.6355234,0.10193936005827964,0.6660810458353499,1.3637158,SYT14,4.5259776,6.011693371372567e-06,0.0021355363941699557,2.4001417,SLC26A11,3.2692342,0.0010783900890197692,0.2902417286003764,3.9561126,ACTG1,3.3611937,0.0007760641784295144,0.2788980641231067,3.928581
30,ATP9A,1.6127552,0.10679771235373098,0.674450132931305,0.59829307,PTPRD,4.521922,6.128060957183352e-06,0.0021355363941699557,1.3879584,POTEM,3.2620332,0.0011061617719781503,0.2902417286003764,1.8252722,HNRNPA2B1,3.3346438,0.0008540871111976703,0.2976364175385821,2.2085636
31,PARK2,1.601371,0.10929477154532609,0.6776773903952648,1.4369333,SMARCAD1,4.5097556,6.490238218161018e-06,0.0021952276326132852,2.8133888,WNT5B,3.2620332,0.0011061617719781503,0.2902417286003764,4.0870953,PRPF38B,3.2921643,0.0009941950680326622,0.3208818853305533,2.4786313
32,SPAG9,1.5975763,0.11013730805641302,0.6776773903952648,0.23675643,TBC1D12,4.493533,7.005103985502736e-06,0.0023016770238080417,2.796088,RANBP10,3.2620332,0.0011061617719781503,0.2902417286003764,3.489516,MYH9,3.2815444,0.0010324025875852584,0.3208818853305533,2.3681
