,GC1-TT1,GC1-TT2,GC1-TT3,GC1-TT4,GC1-TT5,GC1-TT6,GC1-TT7,GC1-TT8,GC1-TT9,GC1-TT10,GC1-TT11,GC1-TT12,GC1-TT13,GC1-TT14,GC1-TT15,GC1-TT16,GC1-TT17,GC1-TT18,GC1-TT19,GC1-LN1,GC1-LN2,GC1-LN3,GC1-LN4,GC2-TT1,GC2-TT2,GC2-TT3,GC2-TT4,GC2-TT5,GC2-TT6,GC2-TT7,GC2-TT8,GC2-TT9,GC2-TT10,GC2-TT11,GC2-TT12,GC2-TT13,GC2-TT14,GC2-TT15,GC2-TT16,GC2-TT17,GC2-TT18,GC2-TT19,GC2-TT20,GC2-TT21,GC2-TT22,GC2-TT23,GC2-TT24,GC2-TT25,GC2-TT26,GC2-TT27,GC2-LN1,GC2-LN2,GC2-LN3,GC2-LN4,GC2-LN5,GC2-LN6,GC2-LN7,GC2-LN8,GC2-LN9,GC2-LN10,GC2-LN11,GC2-LN12,GC2-LN13,GC3-TT1,GC3-TT2,GC3-TT3,GC3-TT4,GC3-TT5,GC3-TT6,GC3-TT7,GC3-TT8,GC3-TT9,GC3-TT10,GC3-TT11,GC3-TT12,GC3-TT13,GC3-TT14,GC3-TT15,GC3-TT16,GC3-TT17,GC3-TT18,GC3-TT19,GC3-LN1,GC3-LN2,GC3-LN3,GC3-LN4,GC3-LN5,GC3-LN6,GC3-LN7,GC3-LN8,GC3-LN9,GC3-LN10,GC3-LN11,GC3-LN12
MARVELD2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OCLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100272216,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0
GUSBP3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100170939,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
GTF2H2B,0,0,3,0,2,0,4,0,0,0,1,2,0,1,3,1,0,5,1,0,0,0,4,3,1,1,0,0,0,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0,2,1,0,0,3,0,1,2,0,0,2,0,0,1,0,0,0,1,3,0,0,0,1,1,4,4,0,0,0,1,0,1,0,1,0,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0
SMA5,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0
LOC100049076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NAIP,0,1,2,0,1,0,0,0,0,6,0,0,4,0,3,4,1,0,0,10,0,0,0,0,0,0,3,0,0,1,0,1,2,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,1,0,1,1,4,0,0,1,0,0,0,0,0,0
GTF2H2,0,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,3,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
LOC647859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
